index,date,water_level,discharge_m3_s
903,2021-04-06,115.0,3.78
904,2021-04-07,116.0,3.92
905,2021-04-08,119.0,4.3
906,2021-04-09,114.0,3.71
907,2021-04-10,112.0,3.45
908,2021-04-11,111.0,3.38
909,2021-04-12,114.0,3.64
910,2021-04-13,113.0,3.53
911,2021-04-14,112.0,3.45
912,2021-04-15,116.0,3.95
913,2021-04-16,121.0,4.56
914,2021-04-17,121.0,4.59
915,2021-04-18,121.0,4.56
916,2021-04-19,119.0,4.33
917,2021-04-20,119.0,4.38
918,2021-04-21,119.0,4.33
919,2021-04-22,118.0,4.19
920,2021-04-23,118.0,4.13
921,2021-04-24,117.0,4.05
922,2021-04-25,116.0,3.98
923,2021-04-26,113.0,3.57
924,2021-04-27,104.0,2.63
925,2021-04-28,97.0,1.99
926,2021-04-29,101.0,2.29
927,2021-04-30,108.0,3.04
928,2021-05-01,112.0,3.48
929,2021-05-02,119.0,4.4
930,2021-05-03,113.0,3.58
931,2021-05-04,113.0,3.57
932,2021-05-05,115.0,3.81
933,2021-05-06,105.0,2.72
934,2021-05-07,104.0,2.59
935,2021-05-08,101.0,2.36
936,2021-05-09,101.0,2.32
937,2021-05-10,98.0,2.05
938,2021-05-11,90.0,1.48
939,2021-05-12,103.0,2.72
940,2021-05-13,125.0,5.25
941,2021-05-14,125.0,5.14
942,2021-05-15,122.0,4.7
943,2021-05-16,121.0,4.64
944,2021-05-17,119.0,4.32
945,2021-05-18,118.0,4.23
946,2021-05-19,124.0,5.02
947,2021-05-20,123.0,4.83
948,2021-05-21,122.0,4.76
949,2021-05-22,120.0,4.44
950,2021-05-23,119.0,4.26
951,2021-05-24,116.0,3.97
952,2021-05-25,108.0,3.03
953,2021-05-26,100.0,2.2
954,2021-05-27,96.0,1.94
955,2021-05-28,94.0,1.77
956,2021-05-29,91.0,1.56
957,2021-05-30,91.0,1.51
958,2021-05-31,89.0,1.41
959,2021-06-01,88.0,1.33
960,2021-06-02,83.0,1.06
961,2021-06-03,77.0,0.77
962,2021-06-04,79.0,0.88
963,2021-06-05,88.0,1.46
964,2021-06-06,89.0,1.41
965,2021-06-07,84.0,1.11
966,2021-06-08,80.0,0.9
967,2021-06-09,75.0,0.69
968,2021-06-10,73.0,0.59
969,2021-06-11,71.0,0.54
970,2021-06-12,71.0,0.52
971,2021-06-13,70.0,0.5
972,2021-06-14,72.0,0.59
973,2021-06-15,73.0,0.6
974,2021-06-16,78.0,0.81
975,2021-06-17,78.0,0.78
976,2021-06-18,74.0,0.64
977,2021-06-19,67.0,0.4
978,2021-06-20,66.0,0.38
979,2021-06-21,66.0,0.39
980,2021-06-22,72.0,0.56
981,2021-06-23,71.0,0.54
982,2021-06-24,82.0,1.03
983,2021-06-25,89.0,1.48
984,2021-06-26,87.0,1.26
985,2021-06-27,96.0,2.58
986,2021-06-28,75.0,0.7
987,2021-06-29,69.0,0.74
988,2021-06-30,119.0,5.28
989,2021-07-01,91.0,1.51
990,2021-07-02,89.0,1.43
991,2021-07-03,79.0,0.83
992,2021-07-04,75.0,0.7
993,2021-07-05,77.0,0.77
994,2021-07-06,83.0,1.04
995,2021-07-07,109.0,3.38
996,2021-07-08,96.0,1.89
997,2021-07-09,110.0,3.26
998,2021-07-10,102.0,2.37
999,2021-07-11,104.0,2.74
1000,2021-07-12,97.0,2.01
1001,2021-07-13,92.0,1.87
1002,2021-07-14,109.0,3.35
1003,2021-07-15,94.0,1.75
1004,2021-07-16,90.0,1.49
1005,2021-07-17,101.0,2.45
1006,2021-07-18,95.0,1.82
1007,2021-07-19,92.0,1.57
1008,2021-07-20,92.0,1.59
1009,2021-07-21,89.0,1.4
1010,2021-07-22,85.0,1.14
1011,2021-07-23,83.0,1.07
1012,2021-07-24,82.0,1.0
1013,2021-07-25,83.0,1.06
1014,2021-07-26,84.0,1.11
1015,2021-07-27,81.0,0.97
1016,2021-07-28,80.0,0.91
1017,2021-07-29,80.0,0.88
1018,2021-07-30,79.0,0.85
1019,2021-07-31,78.0,0.81
1020,2021-08-01,79.0,0.88
1021,2021-08-02,77.0,0.79
1022,2021-08-03,70.0,0.5
1023,2021-08-04,78.0,0.83
1024,2021-08-05,84.0,1.11
1025,2021-08-06,93.0,1.87
1026,2021-08-07,85.0,1.17
1027,2021-08-08,84.0,1.14
1028,2021-08-09,80.0,0.89
1029,2021-08-10,80.0,0.94
1030,2021-08-11,81.0,0.97
1031,2021-08-12,78.0,0.82
1032,2021-08-13,75.0,0.69
1033,2021-08-14,67.0,0.4
1034,2021-08-15,66.0,0.39
1035,2021-08-16,66.0,0.39
1036,2021-08-17,67.0,0.41
1037,2021-08-18,66.0,0.38
1038,2021-08-19,66.0,0.38
1039,2021-08-20,66.0,0.38
1040,2021-08-21,66.0,0.37
1041,2021-08-22,73.0,0.83
1042,2021-08-23,111.0,3.48
1043,2021-08-24,115.0,3.94
1044,2021-08-25,100.0,2.2
1045,2021-08-26,97.0,2.0
1046,2021-08-27,118.0,4.9
1047,2021-08-28,149.0,9.83
1048,2021-08-29,153.0,10.7
1049,2021-08-30,151.0,10.3
1050,2021-08-31,179.0,18.4
1051,2021-09-01,187.0,21.1
1052,2021-09-02,186.0,20.7
1053,2021-09-03,184.0,20.0
1054,2021-09-04,180.0,18.4
1055,2021-09-05,169.0,15.4
1056,2021-09-06,137.0,7.2
1057,2021-09-07,121.0,4.69
1058,2021-09-08,114.0,3.68
1059,2021-09-09,112.0,3.5
1060,2021-09-10,116.0,4.03
1061,2021-09-11,113.0,3.54
1062,2021-09-12,112.0,3.45
1063,2021-09-13,115.0,3.8
1064,2021-09-14,119.0,4.31
1065,2021-09-15,118.0,4.24
1066,2021-09-16,121.0,4.59
1067,2021-09-17,117.0,4.08
1068,2021-09-18,115.0,3.84
1069,2021-09-19,115.0,3.83
1070,2021-09-20,102.0,2.6
1071,2021-09-21,86.0,1.24
1072,2021-09-22,86.0,1.24
1073,2021-09-23,84.0,1.12
1074,2021-09-24,80.0,0.92
1075,2021-09-25,80.0,0.89
1076,2021-09-26,79.0,0.86
1077,2021-09-27,80.0,0.92
1078,2021-09-28,79.0,0.86
1079,2021-09-29,79.0,0.86
1080,2021-09-30,78.0,0.84
1081,2021-10-01,78.0,0.81
1082,2021-10-02,78.0,0.79
1083,2021-10-03,77.0,0.76
1084,2021-10-04,75.0,0.67
1085,2021-10-05,70.0,0.5
1086,2021-10-06,70.0,0.49
1087,2021-10-07,68.0,0.45
1088,2021-10-08,72.0,0.57
1089,2021-10-09,71.0,0.53
1090,2021-10-10,71.0,0.53
1091,2021-10-11,68.0,0.45
1092,2021-10-12,72.0,0.56
1093,2021-10-13,71.0,0.52
1094,2021-10-14,69.0,0.48
1095,2021-10-15,70.0,0.49
1096,2021-10-16,68.0,0.43
1097,2021-10-17,68.0,0.45
1098,2021-10-18,67.0,0.41
1099,2021-10-19,67.0,0.4
1100,2021-10-20,65.0,0.35
1101,2021-10-21,65.0,0.35
1102,2021-10-22,65.0,0.36
1103,2021-10-23,66.0,0.39
1104,2021-10-24,65.0,0.36
1105,2021-10-25,66.0,0.37
1106,2021-10-26,65.0,0.35
1107,2021-10-27,64.0,0.32
1108,2021-10-28,63.0,0.3
1109,2021-10-29,62.0,0.28
1110,2021-10-30,62.0,0.29
1111,2021-10-31,63.0,0.29
1112,2021-11-01,63.0,0.32
1113,2021-11-02,85.0,1.17
1114,2021-11-03,88.0,1.34
1115,2021-11-04,111.0,3.57
1116,2021-11-05,108.0,2.98
1117,2021-11-06,101.0,2.35
1118,2021-11-07,98.0,2.07
1119,2021-11-08,92.0,1.65
1120,2021-11-09,83.0,1.06
1121,2021-11-10,81.0,0.97
1122,2021-11-11,81.0,0.94
1123,2021-11-12,81.0,0.93
1124,2021-11-13,80.0,0.9
1125,2021-11-14,80.0,0.91
1126,2021-11-15,80.0,0.91
1127,2021-11-16,80.0,0.88
1128,2021-11-17,79.0,0.84
1129,2021-11-18,79.0,0.83
1130,2021-11-19,79.0,0.86
1131,2021-11-20,79.0,0.87
1132,2021-11-21,80.0,0.91
1133,2021-11-22,80.0,0.91
1134,2021-11-23,78.0,0.8
1135,2021-11-24,76.0,0.71
1136,2021-11-25,71.0,0.52
1137,2021-11-26,70.0,0.5
1138,2021-11-27,70.0,0.52
1139,2021-11-28,71.0,0.53
1140,2021-11-29,73.0,0.6
1141,2021-11-30,80.0,0.91
1142,2021-12-01,86.0,1.19
1143,2021-12-02,85.0,1.15
1144,2021-12-03,82.0,1.03
1145,2021-12-04,81.0,0.96
1146,2021-12-05,84.0,1.11
1147,2021-12-06,83.0,1.07
1148,2021-12-07,82.0,1.0
1149,2021-12-08,82.0,1.0
1150,2021-12-09,82.0,0.98
1151,2021-12-10,83.0,1.07
1152,2021-12-11,81.0,0.97
1153,2021-12-12,81.0,0.94
1154,2021-12-13,84.0,1.09
1155,2021-12-14,89.0,1.38
1156,2021-12-15,92.0,1.58
1157,2021-12-16,91.0,1.54
1158,2021-12-17,91.0,1.57
1159,2021-12-18,92.0,1.6
1160,2021-12-19,93.0,1.65
1161,2021-12-20,96.0,1.88
1162,2021-12-21,96.0,1.94
1163,2021-12-22,95.0,1.82
1164,2021-12-23,96.0,1.94
1165,2021-12-24,106.0,2.79
1166,2021-12-25,107.0,2.95
1167,2021-12-26,107.0,2.74
1168,2021-12-27,107.0,2.78
1169,2021-12-28,104.0,2.62
1170,2021-12-29,108.0,2.96
1171,2021-12-30,109.0,3.15
1172,2021-12-31,109.0,3.11
